"item_id","context_id","context","case","limit","target_type","target_verb","target_plausibility","filename","Group"
1,1,"宇宙人が","ga","short","Nominative_Plausible","誘拐する","plausible","ga_short_1","A"
2,1,"宇宙人を","o","short","Nominative_Plausible","誘拐する","implausible","o_short_1","B"
3,1,"宇宙人が","ga","long","Nominative_Plausible","誘拐する","plausible","ga_long_1","C"
4,1,"宇宙人を","o","long","Nominative_Plausible","誘拐する","implausible","o_long_1","D"
5,2,"画家が","ga","short","Nominative_Plausible","描く","plausible","ga_short_2","B"
6,2,"画家を","o","short","Nominative_Plausible","描く","implausible","o_short_2","C"
7,2,"画家が","ga","long","Nominative_Plausible","描く","plausible","ga_long_2","D"
8,2,"画家を","o","long","Nominative_Plausible","描く","implausible","o_long_2","A"
9,3,"九官鳥が","ga","short","Nominative_Plausible","まねる","plausible","ga_short_3","C"
10,3,"九官鳥を","o","short","Nominative_Plausible","まねる","implausible","o_short_3","D"
11,3,"九官鳥が","ga","long","Nominative_Plausible","まねる","plausible","ga_long_3","A"
12,3,"九官鳥を","o","long","Nominative_Plausible","まねる","implausible","o_long_3","B"
13,4,"警察が","ga","short","Nominative_Plausible","逮捕する","plausible","ga_short_4","D"
14,4,"警察を","o","short","Nominative_Plausible","逮捕する","implausible","o_short_4","A"
15,4,"警察が","ga","long","Nominative_Plausible","逮捕する","plausible","ga_long_4","B"
16,4,"警察を","o","long","Nominative_Plausible","逮捕する","implausible","o_long_4","C"
17,5,"ギャンブラーが","ga","short","Nominative_Plausible","賭ける","plausible","ga_short_5","A"
18,5,"ギャンブラーを","o","short","Nominative_Plausible","賭ける","implausible","o_short_5","B"
19,5,"ギャンブラーが","ga","long","Nominative_Plausible","賭ける","plausible","ga_long_5","C"
20,5,"ギャンブラーを","o","long","Nominative_Plausible","賭ける","implausible","o_long_5","D"
21,6,"受験生が","ga","short","Nominative_Plausible","勉強する","plausible","ga_short_6","B"
22,6,"受験生を","o","short","Nominative_Plausible","勉強する","implausible","o_short_6","C"
23,6,"受験生が","ga","long","Nominative_Plausible","勉強する","plausible","ga_long_6","D"
24,6,"受験生を","o","long","Nominative_Plausible","勉強する","implausible","o_long_6","A"
25,7,"蜂が","ga","short","Nominative_Plausible","刺す","plausible","ga_short_7","C"
26,7,"蜂を","o","short","Nominative_Plausible","刺す","implausible","o_short_7","D"
27,7,"蜂が","ga","long","Nominative_Plausible","刺す","plausible","ga_long_7","A"
28,7,"蜂を","o","long","Nominative_Plausible","刺す","implausible","o_long_7","B"
29,8,"ピッチャーが","ga","short","Nominative_Plausible","投げる","plausible","ga_short_8","D"
30,8,"ピッチャーを","o","short","Nominative_Plausible","投げる","implausible","o_short_8","A"
31,8,"ピッチャーが","ga","long","Nominative_Plausible","投げる","plausible","ga_long_8","B"
32,8,"ピッチャーを","o","long","Nominative_Plausible","投げる","implausible","o_long_8","C"
33,9,"庭師が","ga","short","Nominative_Plausible","手入れする","plausible","ga_short_9","A"
34,9,"庭師を","o","short","Nominative_Plausible","手入れする","implausible","o_short_9","B"
35,9,"庭師が","ga","long","Nominative_Plausible","手入れする","plausible","ga_long_9","C"
36,9,"庭師を","o","long","Nominative_Plausible","手入れする","implausible","o_long_9","D"
37,10,"販売員が","ga","short","Nominative_Plausible","接客する","plausible","ga_short_10","B"
38,10,"販売員を","o","short","Nominative_Plausible","接客する","implausible","o_short_10","C"
39,10,"販売員が","ga","long","Nominative_Plausible","接客する","plausible","ga_long_10","D"
40,10,"販売員を","o","long","Nominative_Plausible","接客する","implausible","o_long_10","A"
41,11,"弓道家が","ga","short","Nominative_Plausible","射る","plausible","ga_short_11","C"
42,11,"弓道家を","o","short","Nominative_Plausible","射る","implausible","o_short_11","D"
43,11,"弓道家が","ga","long","Nominative_Plausible","射る","plausible","ga_long_11","A"
44,11,"弓道家を","o","long","Nominative_Plausible","射る","implausible","o_long_11","B"
45,12,"騎手が","ga","short","Nominative_Plausible","乗る","plausible","ga_short_12","D"
46,12,"騎手を","o","short","Nominative_Plausible","乗る","implausible","o_short_12","A"
47,12,"騎手が","ga","long","Nominative_Plausible","乗る","plausible","ga_long_12","B"
48,12,"騎手を","o","long","Nominative_Plausible","乗る","implausible","o_long_12","C"
49,13,"内科医が","ga","short","Nominative_Plausible","診察する","plausible","ga_short_13","A"
50,13,"内科医を","o","short","Nominative_Plausible","診察する","implausible","o_short_13","B"
51,13,"内科医が","ga","long","Nominative_Plausible","診察する","plausible","ga_long_13","C"
52,13,"内科医を","o","long","Nominative_Plausible","診察する","implausible","o_long_13","D"
53,14,"悪魔が","ga","short","Nominative_Plausible","誘惑する","plausible","ga_short_14","B"
54,14,"悪魔を","o","short","Nominative_Plausible","誘惑する","implausible","o_short_14","C"
55,14,"悪魔が","ga","long","Nominative_Plausible","誘惑する","plausible","ga_long_14","D"
56,14,"悪魔を","o","long","Nominative_Plausible","誘惑する","implausible","o_long_14","A"
57,15,"審査員が","ga","short","Nominative_Plausible","採点する","plausible","ga_short_15","C"
58,15,"審査員を","o","short","Nominative_Plausible","採点する","implausible","o_short_15","D"
59,15,"審査員が","ga","long","Nominative_Plausible","採点する","plausible","ga_long_15","A"
60,15,"審査員を","o","long","Nominative_Plausible","採点する","implausible","o_long_15","B"
61,16,"教祖が","ga","short","Nominative_Plausible","説く","plausible","ga_short_16","D"
62,16,"教祖を","o","short","Nominative_Plausible","説く","implausible","o_short_16","A"
63,16,"教祖が","ga","long","Nominative_Plausible","説く","plausible","ga_long_16","B"
64,16,"教祖を","o","long","Nominative_Plausible","説く","implausible","o_long_16","C"
